Node,2-12,7,,,,,,,,,,,,,,,,,,,,,,,
Canal,Canal Key,Type_Child Node,Parent Key,Child Key,Parent Name,Child Name,Section,ID,Class,under confirm,Direction,Length,Offset,Photo,Hilight_ChildNode,Area,Cum_Area,fishpond,A,Bigger_ID P3A,Latest Growing Stage,UPI,Golongan_Canal,Golongan_TB,Bank
Barat MC.,L_M2,Str,L_Bt_06,L_Bt_07,B.Bt.4,B.Bt.5.1,sec07,L_M2_sec07,DS,,left,250,0,1095dkCBgbD2zpkHK50JOmlwq8Uht5ofI,,,"12,984",,12.34,,,,Left_Golongan_1,FALSE,
Barat MC.,L_M2,Str,L_Bt_07,L_Bt_08,B.Bt.5.1,B.Bt.5,sec08,L_M2_sec08,Other,,left,100,0,1S8TXSCbUVfwgg8p9ozVe0B8_aRCr9iBJ,,,"12,870",,12.34,,,,Left_Golongan_1,FALSE,
Barat MC.,L_M2,Str,L_Bt_08,L_Bt_09,B.Bt.5,B.Bt.6,sec09,L_M2_sec09,Other,,left,200,0,1s5UeJMaXiCkYw7CHszPEB7X8ZMjUzDb7,,,"12,787",,12.34,,,,Left_Golongan_1,FALSE,
Barat MC.,L_M2,Str,L_Bt_09,L_Bt_10,B.Bt.6,B.Bt.7.1,sec10,L_M2_sec10,Other,,left,320,0,1KV0eTYXmCqPtiin8unvDLUjPr_CF2O8v,,,"12,685",,12.34,,,,Left_Golongan_1,FALSE,
Barat MC.,L_M2,Str,L_Bt_10,L_Bt_11,B.Bt.7.1,B.Bt.7,sec11,L_M2_sec11,Other,,left,240,0,1u9n77Qm24x8cxZ5HAwVcHqfdirpAmroF,#,,,,12.34,,,,Left_Golongan_1,FALSE,
Barat MC.,L_M2,Str,L_Bt_11,L_Bt_12,B.Bt.7,B.Bt.8.1,sec12,L_M2_sec12,DS,,left,160,0,1q_u40pobK5lKXclg9OIMmDBUgvvflEly,,,,,12.34,,,,Left_Golongan_1,FALSE,
Barat MC.,L_M2,Str,L_Bt_12,L_Bt_13,B.Bt.8.1,B.Bt.8,sec13,L_M2_sec13,Other,,left,320,0,16Z6f1q7ynW1yhGPkNWJbqQjLgMi09FIL,,,"12,490",,12.34,,,,Left_Golongan_1,FALSE,
Barat MC.,L_M2,Str,L_Bt_13,L_Bt_14,B.Bt.8,B.Bt.9,sec14,L_M2_sec14,Other,,left,160,0,1pVARuUZuo8-cqs3pbamBjUpk_zePMI3i,#,,,,12.34,,,,Left_Golongan_1,FALSE,
Barat MC.,L_M2,Str,L_Bt_14,L_Bt_15,B.Bt.9,B.Bt.10,sec15,L_M2_sec15,DS,,left,320,0,1h4pq_QMADyaidjxVlWFsQP0zBlKhQaq8,#,,"11,606",,12.34,,,,Left_Golongan_2_1,FALSE,
Barat MC.,L_M2,Str,L_Bt_15,L_Bt_16,B.Bt.10,B.Bt.11.1,sec16,L_M2_sec16,DS,,left,250,0,1VX4d7oDm0vnjCfYYIDcKVZatb7vD4KAx,,,"11,432",,12.34,,,,Left_Golongan_2_1,FALSE,
Barat MC.,L_M2,Str,L_Bt_16,L_Bt_17,B.Bt.11.1,B.Bt.11,sec17,L_M2_sec17,Other,,left,160,0,1IYhU4H-28b4iHlRpp8i7x2mHmYujjAa8,,,"11,381",,12.34,,,,Left_Golongan_2_1,FALSE,
Barat MC.,L_M2,Str,L_Bt_17,L_Bt_18,B.Bt.11,B.Bt.12.1,sec18,L_M2_sec18,Other,,left,300,0,1Ju0bJq1TkEUlLvAZ6bRM_3fKk6ITgmYK,,,"11,017",,12.34,,,,Left_Golongan_2_1,FALSE,
Barat MC.,L_M2,Str,L_Bt_18,L_Bt_19,B.Bt.12.1,B.Bt.12.2,sec19,L_M2_sec19,Other,,up,180,0,1tnLC08yr9DW9m2HwzOjMbrB4oGRmeK3p,,,"10,463",,12.34,,,,Left_Golongan_2_1,FALSE,
