group,Crop,Month,Step,Re
Right_Golongan 1,Re_paddy,4,1,2.7
Right_Golongan 1,Re_paddy,4,2,3.2
Right_Golongan 1,Re_paddy,4,3,1.7
Right_Golongan 1,Re_paddy,4,4,1.3
Right_Golongan 1,Re_paddy,4,5,0.6
Right_Golongan 1,Re_paddy,4,6,2.7
Right_Golongan 1,Re_paddy,5,1,2.1
Right_Golongan 1,Re_paddy,5,2,1.3
Right_Golongan 1,Re_paddy,5,3,0.0
Right_Golongan 1,Re_paddy,5,4,0.0
Right_Golongan 1,Re_paddy,5,5,2.7
Right_Golongan 1,Re_paddy,5,6,0.1
Right_Golongan 1,Re_paddy,6,1,0.0
Right_Golongan 1,Re_paddy,6,2,0.0
Right_Golongan 1,Re_paddy,6,3,0.0
Right_Golongan 1,Re_paddy,6,4,0.1
Right_Golongan 1,Re_paddy,6,5,0.0
Right_Golongan 1,Re_paddy,6,6,0.0
Right_Golongan 1,Re_paddy,7,1,0.0
Right_Golongan 1,Re_paddy,7,2,0.1
Right_Golongan 1,Re_paddy,7,3,0.0
Right_Golongan 1,Re_paddy,7,4,0.0
Right_Golongan 1,Re_paddy,7,5,0.0
Right_Golongan 1,Re_paddy,7,6,0.0
Right_Golongan 1,Re_paddy,8,1,0.0
Right_Golongan 1,Re_paddy,8,2,0.0
Right_Golongan 1,Re_paddy,8,3,0.0
Right_Golongan 1,Re_paddy,8,4,0.0
Right_Golongan 1,Re_paddy,8,5,0.0
Right_Golongan 1,Re_paddy,8,6,0.0
Right_Golongan 1,Re_paddy,9,1,0.0
Right_Golongan 1,Re_paddy,9,2,0.0
Right_Golongan 1,Re_paddy,9,3,0.0
Right_Golongan 1,Re_paddy,9,4,0.0
Right_Golongan 1,Re_paddy,9,5,0.0
Right_Golongan 1,Re_paddy,9,6,0.0
Right_Golongan 1,Re_paddy,10,1,0.0
Right_Golongan 1,Re_paddy,10,2,0.0
Right_Golongan 1,Re_paddy,10,3,0.0
Right_Golongan 1,Re_paddy,10,4,0.0
Right_Golongan 1,Re_paddy,10,5,0.0
Right_Golongan 1,Re_paddy,10,6,0.8
Right_Golongan 1,Re_palawija,11,1,0.2
Right_Golongan 1,Re_palawija,11,2,0.8
Right_Golongan 1,Re_palawija,11,3,0.6
Right_Golongan 1,Re_palawija,11,4,0.8
Right_Golongan 1,Re_palawija,11,5,1.7
Right_Golongan 1,Re_palawija,11,6,4.2
Right_Golongan 1,Re_palawija,12,1,1.6
Right_Golongan 1,Re_palawija,12,2,2.5
Right_Golongan 1,Re_palawija,12,3,2.2
